	Description	KEGG Ontology
6666666.754255.peg.54	Short-chain dehydrogenase/reductase SDR	
6666666.754255.peg.55	acetoacetate decarboxylase (putative)	
6666666.754255.peg.56	Nitroreductase	
6666666.754255.peg.57	Regulator of polyketide synthase expression	
6666666.754255.peg.58	Beta-phosphoglucomutase (EC 5.4.2.6)	KEGG_ENZYME:5.4.2.6
6666666.754255.peg.59	Choloylglycine hydrolase (EC 3.5.1.24)	KEGG_ENZYME:3.5.1.24
6666666.754255.peg.60	Integral membrane protein	
6666666.754255.peg.61	FIG00751247: hypothetical protein	
6666666.754255.peg.62	4-hydroxyphenylacetate 3-monooxygenase (EC 1.14.13.3)	KEGG_ENZYME:1.14.13.3
6666666.754255.peg.63	FIG00752428: hypothetical protein	
6666666.754255.peg.64	Glutamine amidotransferase%2C class I	
6666666.754255.peg.65	Transcriptional regulator%2C YafY family	
6666666.754255.peg.66	Mobile element protein	
6666666.754255.peg.67	FMN-dependent NADH-azoreductase (EC 1.7.1.6)	KEGG_ENZYME:1.7.1.6
6666666.754255.peg.68	Ribosome protection-type tetracycline resistance related proteins%2C group 2	
6666666.754255.peg.69	unknown	
6666666.754255.peg.70	Permease of the drug/metabolite transporter (DMT) superfamily	
6666666.754255.peg.71	Protein export cytoplasm protein SecA ATPase RNA helicase (TC 3.A.5.1.1)	
6666666.754255.peg.72	Intracellular protease	
6666666.754255.peg.73	Zinc-type alcohol dehydrogenase-like protein	
6666666.754255.peg.74	Transcriptional regulator%2C ArsR family	
6666666.754255.peg.75	hypothetical protein	
6666666.754255.peg.76	Multi antimicrobial extrusion protein (Na(+)/drug antiporter)%2C MATE family of MDR efflux pumps	
6666666.754255.peg.77	FIG00751593: hypothetical protein	
6666666.754255.peg.78	Proline iminopeptidase (EC 3.4.11.5)	KEGG_ENZYME:3.4.11.5
6666666.754255.peg.79	UPF0246 protein YaaA	
6666666.754255.peg.80	hypothetical protein	
6666666.754255.peg.81	Oligopeptide ABC transporter%2C substrate-binding protein OppA (TC 3.A.1.5.1)	
6666666.754255.peg.82	FIG00744131: hypothetical protein	
6666666.754255.peg.83	hypothetical protein	
6666666.754255.peg.84	adenylyl transferase (putative)	
6666666.754255.peg.85	hypothetical protein	
6666666.754255.peg.86	ATPase component NikO of energizing module of nickel ECF transporter	
6666666.754255.peg.87	Transmembrane component NikQ of energizing module of nickel ECF transporter	
6666666.754255.peg.88	Substrate-specific component NikM of nickel ECF transporter / Additional substrate-specific component NikN of nickel ECF transporter	
6666666.754255.peg.89	Transcriptional regulator%2C Crp/Fnr family	
6666666.754255.peg.90	LarA: implicated in lactate racemization	
6666666.754255.peg.91	Circadian phase modifier	
6666666.754255.peg.92	FIG01165809: hypothetical protein	
6666666.754255.peg.93	FIG01165383: hypothetical protein	
6666666.754255.peg.94	Glycerol uptake facilitator protein	
6666666.754255.peg.95	ATP-utilizing enzyme of the PP-loop superfamily	
6666666.754255.peg.96	Zinc-type alcohol dehydrogenase-like protein	
6666666.754255.peg.97	Hydroxyethylthiazole kinase (EC 2.7.1.50)	KEGG_ENZYME:2.7.1.50
6666666.754255.peg.98	Hydroxymethylpyrimidine kinase (EC 2.7.1.49) @ Hydroxymethylpyrimidine phosphate kinase ThiD (EC 2.7.4.7)	KEGG_ENZYME:2.7.1.49,KEGG_ENZYME:2.7.4.7
6666666.754255.peg.99	Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3)	KEGG_ENZYME:2.5.1.3
6666666.754255.peg.100	Predicted hydroxymethylpyrimidine transporter CytX	
6666666.754255.peg.101	Glutamine amidotransferase%2C class I	
6666666.754255.peg.102	FIG00747514: hypothetical protein	
6666666.754255.peg.103	MutT/Nudix family protein	
6666666.754255.peg.104	Uncharacterized transporter YbxG	
6666666.754255.peg.105	FIG00754598: hypothetical protein	
6666666.754255.peg.106	halo peroxidase	
6666666.754255.peg.107	Cation-transporting ATPase	
6666666.754255.peg.108	hypothetical protein	
6666666.754255.peg.109	Putative stress-responsive transcriptional regulator	
6666666.754255.peg.110	oxidoreductase (putative)( EC:1.- )	
6666666.754255.peg.111	transcription regulator (putative)	
6666666.754255.peg.112	Mobile element protein	
6666666.754255.peg.113	small heat shock protein	
6666666.754255.peg.114	Mobile element protein	
6666666.754255.peg.115	Mobile element protein	
6666666.754255.peg.116	FIG00750448: hypothetical protein	
6666666.754255.peg.117	hypothetical protein	
6666666.754255.peg.118	hypothetical protein	
6666666.754255.peg.119	Uncharacterized MFS-type transporter	
6666666.754255.peg.120	Transcriptional regulator%2C ArsR family	
6666666.754255.peg.121	Uncharacterized MFS-type transporter YycB	
6666666.754255.peg.122	hypothetical protein	
6666666.754255.peg.123	oxidoreductase of aldo/keto reductase family%2C subgroup 1	
6666666.754255.peg.124	Putative oxidoreductase	
6666666.754255.peg.125	FIG00751510: hypothetical protein	
6666666.754255.peg.126	Oleate hydratase (EC 4.2.1.53)	KEGG_ENZYME:4.2.1.53
6666666.754255.peg.127	histone H1	
6666666.754255.peg.128	FIG00743680: hypothetical protein	
6666666.754255.peg.129	Putative NADH-dependent flavin oxidoreductase	
6666666.754255.peg.130	Transmembrane component MtsC of energizing module of methionine-regulated ECF transporter	
6666666.754255.peg.131	Duplicated ATPase component MtsB of energizing module of methionine-regulated ECF transporter	
6666666.754255.peg.132	ABC transporter%2C ATP-binding protein	
6666666.754255.peg.133	Mobile element protein	
6666666.754255.peg.134	Substrate-specific component MtsA of methionine-regulated ECF transporter	
6666666.754255.peg.135	FIG00751736: hypothetical protein	
6666666.754255.peg.136	Transcriptional regulator%2C GntR family	
6666666.754255.peg.137	FIG00751412: hypothetical protein	
6666666.754255.peg.138	FIG00744409: hypothetical protein	
6666666.754255.peg.139	FIG00750797: hypothetical protein	
6666666.754255.peg.140	FIG00752778: hypothetical protein	
6666666.754255.peg.141	Oxidoreductase%2C short-chain dehydrogenase/reductase family	
6666666.754255.peg.142	Efflux ABC transporter%2C ATP-binding protein	
6666666.754255.peg.143	FIG00752240: hypothetical protein	
6666666.754255.peg.144	FIG00752240: hypothetical protein	
6666666.754255.peg.145	Transcriptional regulator%2C TetR family	
6666666.754255.peg.146	FIG00748417: hypothetical protein	
6666666.754255.peg.147	Substrate-specific component FolT of folate ECF transporter	
6666666.754255.peg.148	hypothetical protein	
6666666.754255.peg.149	Transcriptional regulator%2C TetR family	
6666666.754255.peg.150	Phosphoenolpyruvate-dihydroxyacetone phosphotransferase (EC 2.7.1.121)%2C dihydroxyacetone binding subunit DhaK	KEGG_ENZYME:2.7.1.121
6666666.754255.peg.151	Phosphoenolpyruvate-dihydroxyacetone phosphotransferase (EC 2.7.1.121)%2C dihydroxyacetone binding subunit DhaK	KEGG_ENZYME:2.7.1.121
6666666.754255.peg.152	Phosphoenolpyruvate-dihydroxyacetone phosphotransferase (EC 2.7.1.121)%2C ADP-binding subunit DhaL	KEGG_ENZYME:2.7.1.121
6666666.754255.peg.153	Phosphoenolpyruvate-dihydroxyacetone phosphotransferase (EC 2.7.1.121)%2C subunit DhaM%3B DHA-specific IIA component	KEGG_ENZYME:2.7.1.121
6666666.754255.peg.154	Glycerol uptake facilitator protein @ Propanediol diffusion facilitator	
6666666.754255.peg.155	Transcriptional regulator%2C LacI family	
6666666.754255.peg.156	Maltose operon transcriptional repressor MalR%2C LacI family	
6666666.754255.peg.157	Oligo-1%2C6-glucosidase (EC 3.2.1.10)	KEGG_ENZYME:3.2.1.10
6666666.754255.peg.158	Maltodextrin ABC transporter%2C substrate-binding protein MdxE	
6666666.754255.peg.159	Maltodextrin ABC transporter%2C permease protein MdxF	
6666666.754255.peg.160	Maltodextrin ABC transporter%2C permease protein MdxG	
6666666.754255.peg.161	Maltodextrose utilization protein MalA	
6666666.754255.peg.162	Alpha-amylase (EC 3.2.1.1)	KEGG_ENZYME:3.2.1.1
6666666.754255.peg.163	Maltodextrin ABC transporter%2C ATP-binding protein MsmX	
6666666.754255.peg.164	Maltose phosphorylase (EC 2.4.1.8)	KEGG_ENZYME:2.4.1.8
6666666.754255.peg.165	mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase	
6666666.754255.peg.166	Small conserved membrane protein	
6666666.754255.peg.167	Fructokinase (EC 2.7.1.4)	KEGG_ENZYME:2.7.1.4
6666666.754255.peg.168	alpha-galactosidase (EC 3.2.1.22)	KEGG_ENZYME:3.2.1.22
6666666.754255.peg.169	PTS system%2C sucrose-specific IIB component (EC 2.7.1.211) / PTS system%2C sucrose-specific IIC component / PTS system%2C sucrose-specific IIA component (EC 2.7.1.211)	KEGG_ENZYME:2.7.1.211,KEGG_ENZYME:2.7.1.211
6666666.754255.peg.170	Mobile element protein	
6666666.754255.peg.171	Mobile element protein	
6666666.754255.peg.172	PTS system%2C sucrose-specific IIB component (EC 2.7.1.69) / PTS system%2C sucrose-specific IIC component (EC 2.7.1.69) / PTS system%2C sucrose-specific IIA component (EC 2.7.1.69)	KEGG_ENZYME:2.7.1.69,KEGG_ENZYME:2.7.1.69,KEGG_ENZYME:2.7.1.69
6666666.754255.peg.173	Sucrose-6-phosphate hydrolase (EC 3.2.1.26)	KEGG_ENZYME:3.2.1.26
6666666.754255.peg.174	Sucrose operon repressor ScrR%2C LacI family	
6666666.754255.peg.175	Oligo-1%2C6-glucosidase (EC 3.2.1.10)	KEGG_ENZYME:3.2.1.10
6666666.754255.peg.176	NADPH:quinone reductase related Zn-dependent oxidoreductase	
6666666.754255.peg.177	NADPH:quinone reductase related Zn-dependent oxidoreductase	
6666666.754255.peg.178	Predicted tyrosine transporter%2C NhaC family	
6666666.754255.peg.179	Oligo-1%2C6-glucosidase (EC 3.2.1.10)	KEGG_ENZYME:3.2.1.10
6666666.754255.peg.180	FIG00748836: hypothetical protein	
6666666.754255.peg.181	FIG00753582: hypothetical protein	
6666666.754255.peg.182	hypothetical protein	
6666666.754255.peg.183	Transcriptional regulator%2C Xre family	
6666666.754255.peg.184	Oligopeptide ABC transporter%2C substrate-binding protein OppA (TC 3.A.1.5.1)	
6666666.754255.peg.185	Oligopeptide ABC transporter%2C substrate-binding protein OppA (TC 3.A.1.5.1)	
6666666.754255.peg.186	Mobile element protein	
6666666.754255.peg.187	acetyltransferase (putative)	
6666666.754255.peg.188	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	KEGG_ENZYME:1.1.1.95
6666666.754255.peg.189	Phosphoserine aminotransferase (EC 2.6.1.52)	KEGG_ENZYME:2.6.1.52
6666666.754255.peg.190	Phosphoglycerate mutase family	
6666666.754255.peg.191	oxidoreductase( EC:1.- )	
6666666.754255.peg.192	hypothetical protein	
6666666.754255.peg.193	hypothetical protein	
6666666.754255.peg.194	Fibronectin/fibrinogen-binding protein	
6666666.754255.peg.195	hypothetical protein	
6666666.754255.peg.196	Acetate kinase (EC 2.7.2.1)	KEGG_ENZYME:2.7.2.1
6666666.754255.peg.197	hypothetical protein	
6666666.754255.peg.198	Fluoride ion transporter CrcB	
6666666.754255.peg.199	Fluoride ion transporter CrcB	
6666666.754255.peg.200	ABC transporter%2C ATP-binding protein	
6666666.754255.peg.201	Transmembrane component YkoC of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine	
6666666.754255.peg.202	Duplicated ATPase component YkoD of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine	
6666666.754255.peg.203	Substrate-specific component YkoE of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine	
6666666.754255.peg.204	Glutathione peroxidase (EC 1.11.1.9) @ Thioredoxin peroxidase (EC 1.11.1.15)	KEGG_ENZYME:1.11.1.9,KEGG_ENZYME:1.11.1.15
6666666.754255.peg.205	2%2C5-didehydrogluconate reductase (2-dehydro-D-gluconate-forming) (EC 1.1.1.274)	KEGG_ENZYME:1.1.1.274
6666666.754255.peg.206	Transcription elongation factor GreA	
6666666.754255.peg.207	putative membrane protein	
6666666.754255.peg.208	transcription regulator	
6666666.754255.peg.209	Glucosamine-6-phosphate deaminase (EC 3.5.99.6)	KEGG_ENZYME:3.5.99.6
6666666.754255.peg.210	hypothetical protein	
6666666.754255.peg.211	Dipeptidase	
6666666.754255.peg.212	PTS system%2C mannitol-specific IIC component / PTS system%2C mannitol-specific IIB component (EC 2.7.1.197) / PTS system%2C mannitol-specific IIB component (EC 2.7.1.197)	KEGG_ENZYME:2.7.1.197,KEGG_ENZYME:2.7.1.197
6666666.754255.peg.213	Mannitol operon activator%2C BglG family	
6666666.754255.peg.214	PTS system%2C mannitol-specific IIA component (EC 2.7.1.197)	KEGG_ENZYME:2.7.1.197
6666666.754255.peg.215	Mannitol-1-phosphate 5-dehydrogenase (EC 1.1.1.17)	KEGG_ENZYME:1.1.1.17
6666666.754255.peg.216	FIG00744750: hypothetical protein	
6666666.754255.peg.217	Thioredoxin	
6666666.754255.peg.218	integral membrane protein	
6666666.754255.peg.219	FIG00753943: hypothetical protein	
6666666.754255.peg.220	FIG00747757: hypothetical protein	
6666666.754255.peg.221	Nucleoside diphosphate kinase (EC 2.7.4.6)	KEGG_ENZYME:2.7.4.6
6666666.754255.peg.222	FIG00749784: hypothetical protein	
6666666.754255.peg.223	Chromate reductase (EC 1.6.5.2)	KEGG_ENZYME:1.6.5.2
6666666.754255.peg.224	Serine acetyltransferase (EC 2.3.1.30)	KEGG_ENZYME:2.3.1.30
6666666.754255.peg.225	Cystathionine gamma-lyase (EC 4.4.1.1)	KEGG_ENZYME:4.4.1.1
6666666.754255.peg.226	Cystathionine beta-synthase (EC 4.2.1.22)	KEGG_ENZYME:4.2.1.22
6666666.754255.peg.227	Methionine aminopeptidase (EC 3.4.11.18)	KEGG_ENZYME:3.4.11.18
6666666.754255.peg.228	NrdR-regulated deoxyribonucleotide transporter%2C PnuC-like	
6666666.754255.peg.229	hypothetical protein	
6666666.754255.peg.230	integral membrane protein	
6666666.754255.peg.231	Trehalose operon transcriptional repressor	
6666666.754255.peg.232	Trehalose-6-phosphate hydrolase (EC 3.2.1.93)	KEGG_ENZYME:3.2.1.93
6666666.754255.peg.233	PTS system%2C trehalose-specific IIB component (EC 2.7.1.201) / PTS system%2C trehalose-specific IIC component	KEGG_ENZYME:2.7.1.201
6666666.754255.peg.234	PTS system%2C trehalose-specific IIB component (EC 2.7.1.69) / PTS system%2C trehalose-specific IIC component (EC 2.7.1.69) / PTS system%2C trehalose-specific IIA component (EC 2.7.1.69)	KEGG_ENZYME:2.7.1.69,KEGG_ENZYME:2.7.1.69,KEGG_ENZYME:2.7.1.69
6666666.754255.peg.235	hypothetical protein	
6666666.754255.peg.236	Glycerol-3-phosphate cytidylyltransferase (EC 2.7.7.39)	KEGG_ENZYME:2.7.7.39
6666666.754255.peg.237	CDP-glycerol:poly(glycerophosphate) glycerophosphotransferase (EC 2.7.8.12)	KEGG_ENZYME:2.7.8.12
6666666.754255.peg.238	CDP-glycerol:poly(glycerophosphate) glycerophosphotransferase (EC 2.7.8.12)	KEGG_ENZYME:2.7.8.12
6666666.754255.peg.239	Mobile element protein	
6666666.754255.peg.240	Mobile element protein	
6666666.754255.peg.241	CDP-glycerol:poly(glycerophosphate) glycerophosphotransferase (EC 2.7.8.12)	KEGG_ENZYME:2.7.8.12
6666666.754255.peg.242	Mobile element protein	
6666666.754255.peg.243	Mobile element protein	
6666666.754255.peg.244	CDP-glycerol:poly(glycerophosphate) glycerophosphotransferase (EC 2.7.8.12)	KEGG_ENZYME:2.7.8.12
6666666.754255.peg.245	Flavin prenyltransferase UbiX	
6666666.754255.peg.246	Translation initiation factor 2 (IF-2%3B GTPase)	
6666666.754255.peg.247	Rrf2 family transcriptional regulator%2C group III	
6666666.754255.peg.248	Transcriptional regulator%2C AcrR family	
6666666.754255.peg.249	Manganese transport protein MntH	
6666666.754255.peg.250	FIG00745230: hypothetical protein	
6666666.754255.peg.251	extracellular protein	
6666666.754255.peg.252	unknown	
6666666.754255.peg.253	FIG00752517: hypothetical protein	
6666666.754255.peg.254	transcription regulator	
6666666.754255.peg.255	Histidine protein kinase%3B sensor protein (EC 2.7.3.-)	KEGG_ENZYME:2.7.3.-
6666666.754255.peg.256	Two-component system regulator llrE	
6666666.754255.peg.257	Two-component system regulator llrE	
6666666.754255.peg.258	FIG00749770: hypothetical protein	
6666666.754255.peg.259	Phosphosugar-binding transcriptional regulator%2C RpiR family	
6666666.754255.peg.260	PTS system%2C cellobiose-specific IIC component	
6666666.754255.peg.261	hypothetical protein	
6666666.754255.peg.262	hypothetical protein	
6666666.754255.peg.263	Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr%2C subfamily F2	
6666666.754255.peg.264	FAD/FMN-containing dehydrogenase	
6666666.754255.peg.265	FIG00747343: hypothetical protein	
6666666.754255.peg.266	GTP pyrophosphokinase (EC 2.7.6.5)	KEGG_ENZYME:2.7.6.5
6666666.754255.peg.267	Transcriptional regulator%2C AcrR family	
6666666.754255.peg.268	Transmembrane transport protein MmpL family	
6666666.754255.peg.269	DNA-3-methyladenine glycosylase (EC 3.2.2.20)	KEGG_ENZYME:3.2.2.20
6666666.754255.peg.270	extracellular protein	
6666666.754255.peg.271	ABC transporter%2C permease protein	
6666666.754255.peg.272	ABC-type antimicrobial peptide transport system%2C ATPase component	
6666666.754255.peg.273	immunity protein PlnP%2C membrane-bound protease CAAX family	
6666666.754255.peg.274	membrane-bound protease%2C CAAX family	
6666666.754255.peg.275	Aggregation promoting factor	
6666666.754255.peg.276	Aggregation promoting factor	
6666666.754255.peg.277	Glycine cleavage system H protein	
6666666.754255.peg.278	FIG00746403: hypothetical protein	
6666666.754255.peg.279	FIG00747444: hypothetical protein	
6666666.754255.peg.280	DinG family ATP-dependent helicase CPE1197	
6666666.754255.peg.281	putative membrane protein	
6666666.754255.peg.282	Acetate kinase (EC 2.7.2.1)	KEGG_ENZYME:2.7.2.1
6666666.754255.peg.283	acetyltransferase (putative)	
6666666.754255.peg.284	transcriptional regulator (MarR family)	
6666666.754255.peg.285	NADH dehydrogenase (EC 1.6.99.3)	KEGG_ENZYME:1.6.99.3
6666666.754255.peg.286	putative membrane protein	
6666666.754255.peg.287	hypothetical protein	
6666666.754255.peg.288	Mobile element protein	
6666666.754255.peg.289	Mobile element protein	
6666666.754255.peg.290	hypothetical protein	
6666666.754255.peg.291	hypothetical protein	
6666666.754255.peg.292	Spermidine/putrescine import ABC transporter substrate-binding protein PotD (TC 3.A.1.11.1)	
6666666.754255.peg.293	Spermidine/putrescine import ABC transporter permease protein PotC (TC 3.A.1.11.1)	
6666666.754255.peg.294	Spermidine/putrescine import ABC transporter permease protein PotB (TC 3.A.1.11.1)	
6666666.754255.peg.295	Spermidine/putrescine import ABC transporter ATP-binding protein PotA (TC 3.A.1.11.1)	
6666666.754255.peg.296	Transcriptional regulator%2C MerR family%2C near polyamine transporter	
6666666.754255.peg.297	hypothetical protein	
6666666.754255.peg.298	FIG00748576: hypothetical protein	
6666666.754255.peg.299	acetyltransferase (putative)	
6666666.754255.peg.300	acetyltransferase (putative)	
6666666.754255.peg.301	hypothetical protein	
6666666.754255.peg.302	Transcriptional regulator%2C GntR family	
6666666.754255.peg.303	ABC transporter%2C ATP-binding protein	
6666666.754255.peg.304	hypothetical protein	
6666666.754255.peg.305	Acetaldehyde dehydrogenase (EC 1.2.1.10) / Alcohol dehydrogenase (EC 1.1.1.1)	KEGG_ENZYME:1.2.1.10,KEGG_ENZYME:1.1.1.1
6666666.754255.peg.306	Fructose-bisphosphate aldolase class II (EC 4.1.2.13)	KEGG_ENZYME:4.1.2.13
6666666.754255.peg.307	Xyloside transporter XynT	
6666666.754255.peg.308	Protein QmcA (possibly involved in integral membrane quality control)	
6666666.754255.peg.309	FIG00751344: hypothetical protein	
6666666.754255.peg.310	Dipeptidase	
6666666.754255.peg.311	hypothetical protein	
6666666.754255.peg.312	Substrate-specific component BioY of biotin ECF transporter	
6666666.754255.peg.313	Biotin-protein ligase (EC 6.3.4.15) / Biotin operon repressor	KEGG_ENZYME:6.3.4.15
6666666.754255.peg.314	Zinc finger protein	
6666666.754255.peg.315	hypothetical protein	
6666666.754255.peg.316	Methionine ABC transporter substrate-binding protein	
6666666.754255.peg.317	Methionine ABC transporter ATP-binding protein	
6666666.754255.peg.318	Methionine ABC transporter permease protein	
6666666.754255.peg.319	2-dehydropantoate 2-reductase (EC 1.1.1.169)	KEGG_ENZYME:1.1.1.169
6666666.754255.peg.320	Glutamine-dependent 2-keto-4-methylthiobutyrate transaminase	
6666666.754255.peg.321	FIG00745924: hypothetical protein	
6666666.754255.peg.322	hypothetical protein	
6666666.754255.peg.323	Teichoic acid translocation permease protein TagG	
6666666.754255.peg.324	Teichoic acid export ATP-binding protein TagH (EC 3.6.3.40)	KEGG_ENZYME:3.6.3.40
6666666.754255.peg.325	integral membrane protein	
6666666.754255.peg.326	Transcriptional regulator%2C PadR family	
6666666.754255.peg.327	Uncharacterized MFS-type transporter	
6666666.754255.peg.328	Ammonium transporter	
6666666.754255.peg.329	L-lactate dehydrogenase (EC 1.1.1.27)	KEGG_ENZYME:1.1.1.27
6666666.754255.peg.330	putative membrane protein	
6666666.754255.peg.331	Predicted Zn-dependent protease	
6666666.754255.peg.332	Ribose 5-phosphate isomerase A (EC 5.3.1.6)	KEGG_ENZYME:5.3.1.6
6666666.754255.peg.333	Blue copper oxidase CueO precursor	
6666666.754255.peg.334	Protein of unknown function DUF1304	
6666666.754255.peg.335	YbhB and YbcL	
6666666.754255.peg.336	contains ATPase involved in DNA replication initiation domain	
6666666.754255.peg.337	Predicted transcriptional regulator	
6666666.754255.peg.338	FIG00751320: hypothetical protein	
6666666.754255.peg.339	Biotin carboxyl carrier protein of acetyl-CoA carboxylase	
6666666.754255.peg.340	Non-specific ribonucleoside hydrolase RihC	
6666666.754255.peg.341	short-chain dehydrogenase/oxidoreductase	
6666666.754255.peg.342	hypothetical protein	
6666666.754255.peg.343	Ribonuclease HI (EC 3.1.26.4)	KEGG_ENZYME:3.1.26.4
6666666.754255.peg.344	Glycine betaine ABC transport system%2C permease protein OpuAB / Glycine betaine ABC transport system%2C glycine betaine-binding protein OpuAC	
6666666.754255.peg.345	Glycine betaine ABC transport system%2C ATP-binding protein OpuAA (EC 3.6.3.32)	KEGG_ENZYME:3.6.3.32
6666666.754255.peg.346	similar to glutathione reductase	
6666666.754255.peg.347	Glycerol kinase (EC 2.7.1.30)	KEGG_ENZYME:2.7.1.30
6666666.754255.peg.348	Alpha-glycerophosphate oxidase (EC 1.1.3.21)	KEGG_ENZYME:1.1.3.21
6666666.754255.peg.349	Glycerol uptake facilitator protein	
6666666.754255.peg.350	Mobile element protein	
6666666.754255.peg.351	Mobile element protein	
6666666.754255.peg.352	ABC transporter%2C ATP-binding protein	
6666666.754255.peg.353	hypothetical protein	
6666666.754255.peg.354	DNA helicase	
6666666.754255.peg.355	Aliphatic amidase AmiE (EC 3.5.1.4)	KEGG_ENZYME:3.5.1.4
6666666.754255.peg.356	Tryptophanyl-tRNA synthetase (EC 6.1.1.2)	KEGG_ENZYME:6.1.1.2
6666666.754255.peg.357	Predicted transcriptional regulators	
6666666.754255.peg.358	PTS system%2C cellobiose-specific IIC component	
6666666.754255.peg.359	hypothetical protein	
6666666.754255.peg.360	hypothetical protein	
6666666.754255.peg.361	PTS system%2C cellobiose-specific IIC component	
6666666.754255.peg.362	6-phospho-beta-glucosidase (EC 3.2.1.86)	KEGG_ENZYME:3.2.1.86
